"","Gene","Gini"
"140","ENSG00000198786",0.258179281303901
"141","ENSG00000099194",0.257325050704121
"142","ENSG00000019582",0.257122969457614
"143","ENSG00000136536",0.256640090454507
"144","ENSG00000058085",0.255391506132478
"145","ENSG00000204287",0.25220977221721
"146","ENSG00000152234",0.248386616694552
"147","ENSG00000198431",0.246135826604015
"148","ENSG00000144895",0.244581075608624
"149","ENSG00000135655",0.24336944497
"150","ENSG00000089157",0.242331748740751
"151","ENSG00000211895",0.239333822290745
"152","ENSG00000139793",0.237695901566025
"153","ENSG00000161813",0.234098875990446
"154","ENSG00000165416",0.233322623719526
"155","ENSG00000205302",0.233311339762444
"156","ENSG00000164924",0.229069374170357
"157","ENSG00000165092",0.228866416739459
"158","ENSG00000169855",0.22844348958204
"159","ENSG00000081237",0.228391800639497
"160","ENSG00000113460",0.227420261473826
"161","ENSG00000107679",0.227067731079283
"162","ENSG00000174444",0.22633201405236
"163","ENSG00000154639",0.225463028542126
"164","ENSG00000116747",0.224716724582886
"165","ENSG00000104131",0.224682081681169
"166","ENSG00000118785",0.221197834727538
"167","ENSG00000198363",0.22084875647011
"168","ENSG00000082438",0.220632273223401
"169","ENSG00000169429",0.220527509680651
"170","ENSG00000084234",0.213743135887503
"171","ENSG00000165119",0.213167875943878
"172","ENSG00000168216",0.213163293835993
"173","ENSG00000033178",0.212915704555784
"174","ENSG00000122852",0.209618631988334
"175","ENSG00000122545",0.208892259194749
"176","ENSG00000123200",0.203517292096085
"177","ENSG00000100852",0.203122962329069
"178","ENSG00000198804",0.202660478817792
"179","ENSG00000151632",0.202571444246871
"180","ENSG00000116918",0.199293361412187
"181","ENSG00000185088",0.198517796386939
"182","ENSG00000146674",0.198380921838759
"183","ENSG00000146085",0.196365361958588
"184","ENSG00000168615",0.196198623151272
"185","ENSG00000265972",0.196035970842388
"186","ENSG00000023445",0.194789204675298
"187","ENSG00000166200",0.192633104779122
"188","ENSG00000089597",0.192561455812086
"189","ENSG00000023516",0.191956172149485
"190","ENSG00000083845",0.189074919011109
"191","ENSG00000166441",0.186386695187188
"192","ENSG00000164754",0.186257539496253
"193","ENSG00000070756",0.186166636460315
"194","ENSG00000164329",0.185921564703454
"195","ENSG00000115414",0.184747531248139
"196","ENSG00000139496",0.184509356479972
"197","ENSG00000087053",0.183935083976355
"198","ENSG00000164346",0.183502211346469
"199","ENSG00000128585",0.183329201066919
"200","ENSG00000139687",0.183290844874367
"201","ENSG00000078140",0.182510040390902
"202","ENSG00000147140",0.182113257467529
"203","ENSG00000167460",0.180661723709223
"204","ENSG00000087502",0.180488359830919
"205","ENSG00000171862",0.180461529089283
"206","ENSG00000008952",0.178144667682678
"207","ENSG00000102471",0.177794108940933
"208","ENSG00000185303",0.176803407187558
"209","ENSG00000061676",0.17668347283185
"210","ENSG00000205542",0.176578332538382
"211","ENSG00000133110",0.175939400814131
"212","ENSG00000143549",0.174204689373193
"213","ENSG00000038945",0.173923111447661
"214","ENSG00000187134",0.173696832589403
"215","ENSG00000211455",0.173297270425501
"216","ENSG00000112306",0.172948188860859
"217","ENSG00000162599",0.172706961325339
"218","ENSG00000062194",0.171884539326369
"219","ENSG00000108298",0.171695398320187
"220","ENSG00000196878",0.171364123872798
"221","ENSG00000198695",0.170986182401388
"222","ENSG00000108406",0.170131136076473
"223","ENSG00000119900",0.170062088926131
"224","ENSG00000156508",0.169964075011791
"225","ENSG00000211592",0.169835481100515
"226","ENSG00000026025",0.16809178397409
"227","ENSG00000197746",0.165875546128086
"228","ENSG00000091483",0.16577435529764
"229","ENSG00000092199",0.164330424171887
"230","ENSG00000198677",0.163090287965501
"231","ENSG00000112893",0.162449955934711
"232","ENSG00000197756",0.162200771580883
"233","ENSG00000164609",0.162184609343128
"234","ENSG00000044574",0.162158592025162
"235","ENSG00000087086",0.162024233365625
"236","ENSG00000106443",0.162019821741852
"237","ENSG00000125868",0.161879400660075
"238","ENSG00000173744",0.161376929040502
"239","ENSG00000014123",0.159097862775828
"240","ENSG00000210196",0.158620935161472
"241","ENSG00000213639",0.158370613188907
"242","ENSG00000034510",0.157422078510127
"243","ENSG00000127914",0.156796646246982
"244","ENSG00000132465",0.156713861144264
"245","ENSG00000198727",0.156672157232528
"246","ENSG00000150093",0.15650725874904
"247","ENSG00000155959",0.156169479005978
"248","ENSG00000211896",0.155585930721229
"249","ENSG00000127951",0.155516746824964
"250","ENSG00000168028",0.155324248626594
"251","ENSG00000125944",0.154419846202373
"252","ENSG00000132475",0.153151447440258
"253","ENSG00000000971",0.153102079465906
"254","ENSG00000125730",0.15306436758588
"255","ENSG00000174748",0.152837843718293
"256","ENSG00000123066",0.152731247676805
"257","ENSG00000138688",0.152419150186491
"258","ENSG00000141646",0.150820682072373
"259","ENSG00000146247",0.150556975274532
"260","ENSG00000143248",0.150317089645248
"261","ENSG00000168036",0.148915280922574
"262","ENSG00000112701",0.148325933760186
"263","ENSG00000147065",0.147475475527215
"264","ENSG00000164327",0.146811482130747
"265","ENSG00000115677",0.146802868775529
"266","ENSG00000113387",0.146141582851669
"267","ENSG00000210082",0.145684061276798
"268","ENSG00000143947",0.145061789195959
"269","ENSG00000177954",0.144774026654463
"270","ENSG00000115221",0.144440530775837
"271","ENSG00000151239",0.14368600917167
"272","ENSG00000198961",0.143205944329798
"273","ENSG00000112096",0.143042359051186
"274","ENSG00000126777",0.142992981187548
"275","ENSG00000099246",0.141932558160001
"276","ENSG00000128590",0.141718604094751
"277","ENSG00000134717",0.140761811600837
"278","ENSG00000081154",0.140566089546068
"279","ENSG00000120885",0.140553696761774
"280","ENSG00000134333",0.140401463074089
"281","ENSG00000168385",0.139971450616774
"282","ENSG00000074800",0.139696491255729
"283","ENSG00000136238",0.139364008441052
"284","ENSG00000108654",0.139200239124758
"285","ENSG00000188906",0.138712291156092
"286","ENSG00000143933",0.138383799047095
"287","ENSG00000139746",0.138061112067407
"288","ENSG00000118482",0.137851651250185
"289","ENSG00000136560",0.136617859683585
"290","ENSG00000127922",0.135640421501282
"291","ENSG00000138755",0.13551282752178
"292","ENSG00000173812",0.13515552604747
"293","ENSG00000115904",0.134806012047745
"294","ENSG00000039068",0.13448183016925
"295","ENSG00000198899",0.134426142276439
"296","ENSG00000169908",0.134154057894152
"297","ENSG00000083520",0.133479877735127
"298","ENSG00000110321",0.133463457137123
"299","ENSG00000142875",0.133338686800999
"300","ENSG00000104412",0.13239972657084
"301","ENSG00000182326",0.131929023927357
"302","ENSG00000182718",0.131647893703187
"303","ENSG00000128609",0.131361487334609
"304","ENSG00000100614",0.130985535831586
"305","ENSG00000164587",0.13078788066827
"306","ENSG00000117114",0.13076896866468
"307","ENSG00000108055",0.130340897294682
"308","ENSG00000005810",0.129937708818128
"309","ENSG00000198160",0.129499502569305
"310","ENSG00000174780",0.129169918254555
"311","ENSG00000047410",0.128960898889593
"312","ENSG00000112249",0.128081097101236
"313","ENSG00000142676",0.128080058110123
"314","ENSG00000102024",0.127713978625406
"315","ENSG00000085224",0.126637937035217
"316","ENSG00000102144",0.126549941889404
"317","ENSG00000173230",0.126176387226622
"318","ENSG00000212907",0.12535543339064
"319","ENSG00000132963",0.124475882718106
"320","ENSG00000198791",0.123947185441825
"321","ENSG00000164209",0.123334547346311
"322","ENSG00000105193",0.123185401017142
"323","ENSG00000108953",0.12311219924286
"324","ENSG00000115091",0.122580327047812
"325","ENSG00000138449",0.122288689650494
"326","ENSG00000108064",0.122165034048903
"327","ENSG00000152558",0.122072937894493
"328","ENSG00000071082",0.121772928159693
"329","ENSG00000125870",0.121739027270953
"330","ENSG00000100316",0.121403501476327
"331","ENSG00000150991",0.119408354340842
"332","ENSG00000145592",0.119372631914176
"333","ENSG00000135821",0.119241686087793
"334","ENSG00000100345",0.118856421853672
"335","ENSG00000010244",0.118573398613678
"336","ENSG00000197601",0.118245715212264
"337","ENSG00000075624",0.118014140684807
"338","ENSG00000115233",0.117065513116499
"339","ENSG00000041982",0.116051687144588
"340","ENSG00000108821",0.115026091293154
"341","ENSG00000251562",0.114971284517744
"342","ENSG00000117505",0.11491165611921
"343","ENSG00000080371",0.114709906166271
"344","ENSG00000129636",0.114522202941719
"345","ENSG00000118705",0.114443805025473
"346","ENSG00000134871",0.114434807752299
"347","ENSG00000147669",0.114255505419309
"348","ENSG00000116133",0.11414489814902
"349","ENSG00000160710",0.113921666292241
"350","ENSG00000169139",0.113543030315765
"351","ENSG00000172757",0.113214185025827
"352","ENSG00000129292",0.11240603118262
"353","ENSG00000008988",0.112319879713137
"354","ENSG00000153187",0.112287147470013
"355","ENSG00000075223",0.112261569984751
"356","ENSG00000142534",0.112260219648814
"357","ENSG00000096384",0.111389319664326
"358","ENSG00000156261",0.11135636707305
"359","ENSG00000171863",0.110132653410923
"360","ENSG00000198712",0.110019153558232
"361","ENSG00000115919",0.109960314033715
"362","ENSG00000111596",0.109357298288385
"363","ENSG00000138095",0.109189560352317
"364","ENSG00000167004",0.109180338197638
"365","ENSG00000198886",0.109149122361666
"366","ENSG00000139329",0.109102785085606
"367","ENSG00000131171",0.108977834090479
"368","ENSG00000134709",0.108673777332385
"369","ENSG00000121741",0.108647442774668
"370","ENSG00000122406",0.108009107445821
"371","ENSG00000189043",0.107798949819403
"372","ENSG00000137076",0.107250508511557
"373","ENSG00000108061",0.106817602396639
"374","ENSG00000118680",0.106786955615947
"375","ENSG00000123575",0.106594854407276
"376","ENSG00000198840",0.105344443639829
"377","ENSG00000151012",0.105082110946176
"378","ENSG00000116754",0.105073311646284
"379","ENSG00000136603",0.104827939306397
"380","ENSG00000113140",0.104542033842971
"381","ENSG00000131469",0.104467658937439
"382","ENSG00000128791",0.104331929617072
"383","ENSG00000245532",0.103985571468075
"384","ENSG00000101745",0.103936011663086
"385","ENSG00000134001",0.103811795073163
"386","ENSG00000100201",0.10379157703547
"387","ENSG00000198612",0.103520650557376
"388","ENSG00000122591",0.103103301824819
"389","ENSG00000132485",0.102917136676339
"390","ENSG00000135486",0.10254393123016
"391","ENSG00000205413",0.102164913421964
"392","ENSG00000138326",0.10173896107859
"393","ENSG00000085365",0.101656732032331
"394","ENSG00000090060",0.100974624216915
"395","ENSG00000078369",0.100674158404476
"396","ENSG00000177575",0.100400998615625
"397","ENSG00000166710",0.099836435776823
"398","ENSG00000143321",0.0995258350412597
"399","ENSG00000123500",0.0992086559659544
"400","ENSG00000166598",0.0991739871064979
"401","ENSG00000115053",0.0986466393273218
"402","ENSG00000153914",0.0978860288038851
"403","ENSG00000169504",0.0976371959950628
"404","ENSG00000138448",0.0960079836043362
"405","ENSG00000087460",0.095461059107418
"406","ENSG00000115415",0.0944825173965766
"407","ENSG00000205339",0.0935681219305242
"408","ENSG00000142541",0.0931213528050672
"409","ENSG00000137745",0.0930738767775917
"410","ENSG00000091140",0.0923105486007304
"411","ENSG00000141425",0.0915960115248291
"412","ENSG00000138071",0.0915292163102353
"413","ENSG00000167658",0.0911066723555103
"414","ENSG00000090104",0.091060386651235
"415","ENSG00000144713",0.0906768164008846
"416","ENSG00000187498",0.0891452223552085
"417","ENSG00000198938",0.0888220038829248
"418","ENSG00000089009",0.0885171921619485
"419","ENSG00000112695",0.0879396175430312
"420","ENSG00000114391",0.0877355061621848
"421","ENSG00000101596",0.0876856253228271
"422","ENSG00000109971",0.0872251865732835
"423","ENSG00000164163",0.0870857859696973
"424","ENSG00000181163",0.0865661696411917
"425","ENSG00000234745",0.0859469547909507
"426","ENSG00000118181",0.0855365489782848
"427","ENSG00000168542",0.0855062602541833
"428","ENSG00000231500",0.0854303119096175
"429","ENSG00000131236",0.084281876261102
"430","ENSG00000104219",0.0841927517766621
"431","ENSG00000174437",0.0839194948702425
"432","ENSG00000164733",0.0837328246999604
"433","ENSG00000260032",0.0835128786505123
"434","ENSG00000080824",0.0829415109299076
"435","ENSG00000139684",0.08258985149031
"436","ENSG00000138750",0.0817763683521796
"437","ENSG00000196262",0.0813125409603324
"438","ENSG00000113328",0.0809968642977367
"439","ENSG00000162645",0.080489117328363
"440","ENSG00000204262",0.0804178938328433
"441","ENSG00000122641",0.0800989374449579
"442","ENSG00000165280",0.0800594025826413
"443","ENSG00000137876",0.0797469552126083
"444","ENSG00000083312",0.0788762191731001
"445","ENSG00000213719",0.0787251251398962
"446","ENSG00000139343",0.0779565873511622
"447","ENSG00000198763",0.0777952536765619
"448","ENSG00000137955",0.0768006035359675
"449","ENSG00000149273",0.0767797209063658
"450","ENSG00000164692",0.0759385650091678
"451","ENSG00000138398",0.0756296887082291
"452","ENSG00000163359",0.0748043258467763
"453","ENSG00000128534",0.0747392357212337
"454","ENSG00000009307",0.0742701393557328
"455","ENSG00000198843",0.0739987638830667
"456","ENSG00000163682",0.0737802224447541
"457","ENSG00000065243",0.0729725474074707
"458","ENSG00000196531",0.0729385573301361
"459","ENSG00000197958",0.0727624903281506
"460","ENSG00000137154",0.0717787115229549
"461","ENSG00000121749",0.07154777515721
"462","ENSG00000139921",0.0690774314547355
"463","ENSG00000077097",0.0681063270802807
"464","ENSG00000136021",0.0674183090951527
"465","ENSG00000211459",0.0673729994249192
"466","ENSG00000142192",0.0670504198450226
"467","ENSG00000073756",0.0655808342241288
"468","ENSG00000197102",0.065151666803595
"469","ENSG00000100234",0.0635357069887222
"470","ENSG00000231389",0.0634093360144041
"471","ENSG00000196712",0.0632635349867941
"472","ENSG00000125691",0.0608907981774985
"473","ENSG00000119707",0.060569787820012
"474","ENSG00000143155",0.0602537069251413
"475","ENSG00000061987",0.0598549070798769
"476","ENSG00000115295",0.0597513667159217
"477","ENSG00000112739",0.0596036608798537
"478","ENSG00000205765",0.0595983345773001
"479","ENSG00000082212",0.0592743894578419
"480","ENSG00000111711",0.0590172584403145
"481","ENSG00000145833",0.0589004563411789
"482","ENSG00000198887",0.0581533367328758
"483","ENSG00000122566",0.0576819396359041
"484","ENSG00000184009",0.0567270808762659
"485","ENSG00000198162",0.055957025073046
"486","ENSG00000169245",0.0556308621710511
"487","ENSG00000133835",0.0536272256220083
"488","ENSG00000118260",0.053400408347948
"489","ENSG00000023318",0.0504292393880629
"490","ENSG00000137959",0.0500962957366977
"491","ENSG00000177485",0.0498115204535629
"492","ENSG00000148303",0.0497757207155584
"493","ENSG00000006576",0.049636261058419
"494","ENSG00000188846",0.0492905392008323
"495","ENSG00000116489",0.0474452272398995
"496","ENSG00000198034",0.044133930526909
"497","ENSG00000115461",0.0399294009839373
"498","ENSG00000165997",0.0333220779220779
"499","ENSG00000130066",0.0307838705015175
"500","ENSG00000136156",0.0265828926985814
